ID,Description,Entry_ID,Comparison_Meaning,Concepticon_ID,Media_IDs,Scientific_Name,Semantic_Domain,alt_translation1
SN000358,soursop tree,LX000347,,,f7371d84639f356eb29d95c0aab8f3a9,,botanical,corossolier
SN000359,stork,LX000348,,,,,ornithological,cignogne
SN000360,tribal war,LX000349,,,,,,guerre tribale
SN000361,unidentified grass,LX000350,,,,,botanical,herbe non identifiée
SN000362,larva,LX000351,LARVA [2640],2640,,,,larve
SN000363,you; [second person plural],LX000352,THOU [1215],1215,,,,vous
SN000364,send a person (not a thing),LX000353,,,,,,envoyer quelqu'un (pas quelque chose)
SN000365,potash obtained through the washing of ashes,LX000354,,,,,,potasse que l’on obtient par lixiviation de cendres
SN000366,remnants of food; literally: head of food,LX000355,,,,,,restes de nouriture
SN000367,snail without its shell,LX000356,,,,,,limace; escargot sans coquille
SN000368,smegma (white mucus secreted from the non-circumcised penis),LX000357,,,,,,smegma
SN000369,tree,LX000358,TREE [906],906,,,botanical,arbre
SN000370,tree,LX000359,TREE [906],906,,,botanical,arbre
SN000371,cape fig,LX000360,,,,Ficus sur,botanical,espèce d'arbre
SN000372,sycamore fig,LX000361,,,,Ficus sycomorus gnaphalocarpa,botanical,figuier sycomore
SN000373,a kind of tree,LX000362,,,,Ficus vallis-choudae,botanical,espèce d'arbre
SN000374,cave; hole,LX000363,CAVE [1155],1155,,,,trou
SN000375,chicken,LX000364,CHICK [2512],2512,,,,poulet
SN000376,white cattle egret,LX000365,,,,,zoological,aigrette blanche; héron garde-bœuf
SN000377,snout moth,LX000366,,,,,entomological,papillon de nuit de la famille des Pyralidés
SN000378,feces; excrement,LX000367,FAECES (EXCREMENT) [675],,,,,matières fécales; excréments
SN000379,yellow; child's feces,LX000368,YELLOW [1424],1424,,,,jaune; excrement d'un enfant
SN000380,pig; wild pig,LX000369,PIG (CLASSIFIER) [2169],,,,,cochon; phacochère
SN000381,pig,LX000370,PIG [1337],1337,,,,cochon
SN000382,get drunk; suffer,LX000371,SUFFER [1101],1101,,,,s’enivrer; se saouler; souffrir
SN000383,drunkenness; getting drunk,LX000372,,,,,,ivresse; ébriété
SN000384,unidentified grass,LX000373,,,,,botanical,herbe non identifiée
SN000385,false sesame,LX000374,,,,Ceracotheca sesamoides Endl,botanical,légume-sauce
SN000386,any alcoholic drink; local or bottled; wine; beer,LX000375,WINE [1524] ; BEER [1639],,,,,boisson alcoolisée de fabrication locale ou en bouteille; vin; bière
SN000387,a kind of plant with small red flowers,LX000376,,,,,botanical,plante à petites fleurs rouges
SN000388,dry,LX000377,,,,,,sécher
SN000389,drying,LX000378,,,,,,séchage
SN000390,ten,LX000379,TEN [1515],1515,,,,dix
SN000391,grow; raise (something living),LX000380,GROW [479] ; RAISE (A CHILD) [2134],,,,,élever; grandir
SN000392,clay pot,LX000381,CLAY POT [2055],,,,,marmite en terre
SN000393,moringa; drumstick tree,LX000382,,,,Moringa oleifera,botanical,moringa
SN000394,the largest frog known to Hdi,LX000383,,,,,,la plus grosse grenouille connue des Hdi
SN000395,measure; think; estimate; believe; identify,LX000384,MEASURE [1506],1506,,,,mesurer; estimer; croire; identifier; penser; coincider
SN000396,friend; buddy,LX000385,FRIEND [1325],1325,,,,ami; camarade
SN000397,meeting,LX000386,,,,,,rencontre; réunion
SN000398,a face to face meeting,LX000387,,,,,,rencontre face à face; face-à-face
SN000399,wooden basket used as a chicken coop,LX000388,,,2f1f358fd00da99d966a4af322e62e72,,,corbeille en matière du bois utilisée comme poulailler
SN000400,small poultry farm,LX000389,,,,,,petite ferme avicole aere fait de tige
SN000401,wasp,LX000390,WASP [1517],1517,,,,guepe
SN000402,speak without object or addressee,LX000391,,,,,,parler sans objet ou parler tout seul
SN000403,word; language,LX000392,WORD [1559] ; LANGUAGE [1307],,,,,parole; mot; langue
SN000404,together,LX000393,TOGETHER [2482],2482,,,,ensemble
SN000405,spear,LX000394,SPEAR [945],945,,,,lance
SN000406,a tree that serves for the initation,LX000395,,,612b2478e1f067644322e6f476e399ed,,botanical,un arbre qui sert pour l'initation
SN000407,people; population,LX000396,PEOPLE OR PERSON [2661],,,,,peuple; population
SN000408,hunter,LX000397,HUNTER [1053],1053,,,,chasseur
SN000409,a kind of beetle,LX000398,,,,Dytiscidae,entomological,dytique
SN000410,cowry back ornament,LX000399,,,aadf16a5ca23ea5bc5c228053b14e84b,,,cauris portés aussi verticalement sur le dos
SN000411,a thorny bush,LX000400,,,,,,arbuste épineux; de la famille de l’Acacia senegalensis
SN000412,a kind of shrub; tree,LX000401,,,,"Ficus abutilifolia, globulosa",botanical,arbuste
SN000413,team,LX000402,,,,,,un ensemble
SN000414,guava fruit and tree,LX000403,,,,,botanical,goyavier; goyave
SN000415,elephant,LX000404,ELEPHANT [1290],1290,,,zoological,éléphant
SN000416,where?,LX000405,WHERE [1237],1237,,,,où?
SN000417,[locative]; at; by; in,LX000406,AT [1461],1461,,,,chez; avec; auprès de; dans; où; à
SN000418,make; sew,LX000407,DO OR MAKE [2575],,,,,"faire, tisser, tisse!"
SN000419,immediately; suddenly,LX000408,IMMEDIATELY [1963],1963,,,,subitement; immédiatement; soudain
SN000420,goat,LX000409,GOAT [1502],1502,,,,chèvre
SN000421,mediate; literally: 'make a dog',LX000410,,,,,,servir d’intermédiaire; littéralement: 'faire un chien'
SN000422,make sorcelery,LX000411,,,,,,pratiquer la sorcellerie
SN000423,night (during the night),LX000412,NIGHT [1233],1233,,,,(au cours de la) nuit
SN000424,greet,LX000413,,,,,,saluer
SN000425,bend,LX000414,BEND [2004],2004,,,,plier; plie!
SN000426,wealth,LX000415,,,,,,richesse
SN000427,white cowrie necklace worn by men and women,LX000416,,,c0aa4f5d918ed06efee3e4591c762f84,,,collier de cauris blancs porté par les hommes et les femmes
SN000428,central hut in a compound where nobody sleeps; serves as a living room,LX000417,,,74340142792c7227b46ffb3435be74cf ; 681570e7ff28060d572b3f1599a3d588,,,case centrale d’une concession où personne ne dort; sert de pièce de réception
SN000429,antelope,LX000418,,,,,zoological,gazelle
SN000430,a kind of beetle,LX000419,,,,,entomological,insecte coléoptère
SN000431,a kind of shrub,LX000420,,,,Gardenia ternifolia,botanical,arbuste
SN000432,cavernous,LX000421,,,,,,caverneux
SN000433,concave,LX000422,,,,,,concave
SN000434,together,LX000423,TOGETHER [2482],2482,,,,ensemble
SN000435,tell someone,LX000424,TELL [1711],1711,,,,dire a quelqu’un
SN000436,hat made of silk or wool; used during the period of mourning and for the dance of the bull,LX000425,,,,,,chapeau fait de soie ou de laine
SN000437,pestle,LX000426,PESTLE [225],225,66fbb26051e46ae68fa3c1e565ed80d4,,,pilon
SN000438,frighten,LX000427,FRIGHTEN [252],252,,,,effrayer; faire peur
SN000439,an unidentified shrub whose branches are planted in the initiation hut,LX000428,,,,,botanical,arbuste non identifié dont on plante les branches dans la case d’initiation appelée 'tská?àk'
SN000440,vulture,LX000429,VULTURE [1185],1185,,,,voutoure
SN000441,a lump of soil; calabash,LX000430,,,,,,motte de terre; calebasse
SN000442,beginning,LX000431,BEGINNING [1557],1557,,,,début
SN000443,central supporting pole within the house,LX000432,,,,,,poteau central qui soutient la toiture d’une maison
SN000444,shake; mix; sift,LX000433,SHAKE [1909],1909,,,,secouer; bouger; tamiser
SN000445,move,LX000434,MOVE [765],765,,,,bouger
SN000446,an unidentified grass,LX000435,,,,,botanical,herbe non identifiée
SN000447,unidentified tree,LX000436,,,,,botanical,arbre non identifié
SN000448,house termite,LX000437,,,,,entomological,termite
SN000449,still; also,LX000438,,,,,,encore; aussi
SN000450,[male name],LX000439,,,,,,
SN000451,barrier; fence,LX000440,FENCE [1690],1690,,,,barrière; clôture; jardin
SN000452,cowshed; stable; corral,LX000441,STABLE [851],851,,,,étable; écurie; enclos à bétail
SN000453,squirrel; a head-dress made from skin of a squirrel,LX000442,SQUIRREL [1628],1628,9df0c9eb3837d74dac9797bc232a6944,,,écureuil; couvre-chef en peau d’écureuil
SN000454,large empty metal can thrown out,LX000443,,,,,,bidon métallique qu’on jette
SN000455,advancement,LX000444,,,,,,avancement
SN000456,open,LX000445,OPEN [1156],1156,,,,ouvrir
SN000457,move in small steps; advance; draw back,LX000446,,,,,,se déplacer à petits pas; avancer; reculer
SN000458,greet again,LX000447,,,,,,saluer de nouveau
SN000459,lance,LX000448,,,a53fb11f46de5471965780b677adfd08,,,lance
SN000460,ornament for the new born,LX000449,,,f5f07ef6f576bf6882cc6ff9d66b1086,,,parure portée par le nouveau-né
SN000461,a type of couch grass,LX000450,,,,,botanical,sorte de chiendent
SN000462,trim trees; bushes,LX000451,,,,,,tailler un arbre; un arbuste
SN000463,woman's dance ornament worn below the knee,LX000452,,,373c2a94f309772b0cd1a5e30a071b59,,,parure féminine de danse; bande attachée légèrement en dessous du genou
SN000464,poverty-stricken,LX000453,,,,,,un miséreux; un pauvre
SN000465,mendacity; lie,LX000454,,,,,,mendicité; mensonge
SN000466,today,LX000455,TODAY [1283],1283,,,,aujourd'hui
SN000467,[male name],LX000456,,,,,,
SN000468,step back,LX000457,,,,,,recul
SN000469,act of changing one's location,LX000458,,,,,,fait de se déplacer; de changer de place
SN000470,granary,LX000459,,,,,,grenier
SN000471,confront; to meet,LX000460,MEET [1831],1831,,,,affronter; rencontrer
SN000472,an iron stick with a hook at the end to pick up meat from a pot,LX000461,,,22090513a0fc3fff552ad0b79abf9fa4,,,crochet en fer avec lequel on prend la viande dans la marmite
SN000473,a kind of bush,LX000462,,,,,botanical,arbuste non identifié
SN000474,leaving a place; moving,LX000463,MOVE AWAY [229],,,,,émigration; déménagement
SN000475,a type of mouse similar to vowl,LX000464,,,,,zoological,variété de rongeur qui vit en groupe et en sous-groupes
SN000476,move (house); leave,LX000465,MOVE [765] ; LEAVE [1752],,,,,déménager; quitter
SN000477,metal pubic apron for women,LX000466,,,,,,cache sexe en metal
SN000478,house,LX000467,HOUSE [1252],1252,,,,maison
SN000479,call!,LX000468,,,,,,appele!
SN000480,start,LX000469,BEGIN [1806],1806,,,,commencer; percer; trouer
SN000481,planting,LX000470,,,,,,action de planter
SN000482,plant,LX000471,PLANT (SOMETHING) [1486],,,,,planter
SN000483,side,LX000472,SIDE [682],682,,,,côté
SN000484,neighbor,LX000473,NEIGHBOUR [1332],1332,,,,voisin
SN000485,hit; whip repeatedly; harvest fruits from the tree with the help of a stick,LX000474,BEAT [1665],1665,,,,bastonner; fouetter; gauler des fruits/des feuilles sur un arbre; frapper; fouetter plusieurs fois; chicotter
SN000486,whipping,LX000475,,,,,,bastonnade
SN000487,sow; plant!,LX000476,SOW SEEDS [748],,,,,semer; plante!
SN000488,plant; plantation; planting,LX000477,PLANT (SOMETHING) [1486],,,,,plant; plantation; fait de planter
SN000489,unidentified plant,LX000478,,,,,botanical,plante non identifiée
SN000490,ear,LX000479,EAR [1247],1247,,,,oreille
SN000491,work,LX000480,WORK (ACTIVITY) [1086],,,,,travail
SN000492,axe,LX000481,AXE [677],677,,,,hache
SN000493,smith,LX000482,,,,,,forger; verser (un liquide)
SN000494,forge,LX000483,FORGE [288],288,9874b172e068551ce24a052ed42cfbb5,,,forger; action de forger
SN000495,tall,LX000484,TALL [711],711,,,,grand; long
SN000496,pierce; launch,LX000485,PIERCE [398],398,,,,percer; lancer
SN000497,activity of the blacksmith or related to the products of blacksmith which includes: forge; pour liquid in the fetish ceremonies; launch a weapon (made from iron),LX000486,,,,,,activité du forgeron qui inclut la forge; les libations dans les cérémonies aux fétiches; le lancer d’une arme (en fer): forger; faire une libation aux fétiches; lancer
SN000498,smithing,LX000487,FORGE [288],288,,,,activité de la forge
SN000499,height; length,LX000488,,,,,,taille; longueur
SN000500,leaf,LX000489,LEAF (LEAFLIKE OBJECT) [2250],,,,,feuille
SN000501,lift,LX000490,LIFT [501],501,,,,soulever
SN000502,fall; find; scramble,LX000491,,,,,,trouver; tomber dessus; chercher
SN000503,"spread germinated corn, grains of any corn, wet beans, etc. for drying",LX000491,FALL [1280],1280,,,,"étaler au soleil du grain germé, des céréales, des haricots humides, pour qu’ils sèchent"
SN000504,cow; bull; single bovin,LX000492,COW (CLASSIFIER) [2168],,,,,vache; taureau; bovin
SN000505,wild buffalo,LX000493,,,,,zoological,bœuf sauvage; buffle
SN000506,stand up; stop (when the subject is moving),LX000494,STAND UP [570],,,,,se mettre debout; s’arrêter’ (quand le sujet est en mouvement)
SN000507,height,LX000495,,,,,,taille
SN000508,standing position,LX000495,,,,,,staiton debout
SN000509,stand,LX000496,STAND [1442],1442,,,,se tenir debout
SN000510,comb; trim,LX000497,COMB (VERB) [2070],,,,,peigner; tailler
SN000511,stand straight,LX000498,,,,,,être debout tout droit
SN000512,wisdom,LX000499,,,,,,sagesse
SN000513,salt (not the one obtained through the washing of ashes),LX000500,SALT [1274],1274,,,,sel (pas celui qu’on obtient par lixiviation de cendres)
SN000514,stab (a man or animal),LX000501,STAB [1434],1434,,,,poignarder (homme ou animal)
SN000515,dagger,LX000502,,,,,,poignard
SN000516,egg,LX000503,EGG [744],744,,,,œuf
SN000517,tsetse fly,LX000504,,,,,,mouche tsétsé
SN000518,swelling; increase; putrification,LX000505,SWELLING [1903],1903,,,,gonflement; augmentation; putréfaction
SN000519,cockroach,LX000506,COCKROACH [1575],1575,,,,cafard
SN000520,push,LX000507,PUSH [1452],1452,,,,pousser
SN000521,a push,LX000508,,,,,,poussade
SN000522,push!,LX000509,PUSH [1452],1452,,,,pousse!
SN000523,get warm,LX000510,,,,,,"se réchauffer (pour le corps seulement; ne peut s’employer pour le climat, éspace, la nourriture)"
SN000524,tsetse fly,LX000511,,,,,,mouche tsétsé
SN000525,giraffe,LX000512,,,,,,girafe
SN000526,thin,LX000513,THIN (OF SHAPE OF OBJECT) [2249],,,,,mince
SN000527,meat,LX000514,FLESH OR MEAT [2615],,,,,viande
SN000528,get up; rise; leave,LX000515,RISE (MOVE UPWARDS) [568],,,,,se lever; s’en aller
SN000529,leave; move (houses),LX000516,LEAVE [1752],1752,,,,quitter; déménager
SN000530,woman ear ornament made from the tooth of daman,LX000517,,,,,,parure féminine; boucle d’oreille en dent de daman
SN000531,body,LX000518,BODY [1480],1480,,,,corps
SN000532,chew; mastigate,LX000519,CHEW [321],321,,,,macher; chiquer
SN000533,chew; masticate,LX000520,CHEW [321],321,,,,macher; chiquer
SN000534,a type of bird,LX000521,,,,,ornithological,varieté d’oiseau
SN000535,tire,LX000522,GET TIRED [1996],,,,,se fatiguer
SN000536,plant,LX000523,PLANT (SOMETHING) [1486],,,,,cultiver
SN000537,plant everything,LX000524,,,,,,cultiver tout
SN000538,plant a barrier between the fields of crops,LX000525,,,,,,planter une barrière entere les champs cultivés
SN000539,weak,LX000526,WEAK [1601],1601,,,,faible
SN000540,run; escape,LX000527,FLEE [956],956,,,,courir; éviter; écarter
SN000541,until,LX000528,,,,,,jusqu'a
SN000542,close,LX000529,,,,,,fermer
SN000543,attach many,LX000530,,,,,,attachier plusieurs see hba attach a single thing
SN000544,stomach,LX000531,STOMACH [819],819,,,,ventre
SN000545,a kind of tree,LX000532,,,,euphorbia camerunica paganorum poissonii,,espèce d'arbre
SN000546,evening,LX000533,EVENING [1629],1629,,,,le soir
SN000547,weak; fragile,LX000534,WEAK [1601],1601,,,,faible; fragile
SN000548,a silly person,LX000535,,,,,,un fou; sot
SN000549,a kind of tree,LX000536,,,,Euphorbia poissonii,botanical,espèce d'arbre
SN000550,slaughter,LX000537,SLAUGHTER [1796],1796,,,,égorger
SN000551,lying down,LX000538,LIE (REST) [1411],,,,,une couchée; le sommeil
SN000552,lie down; sleep,LX000539,LIE DOWN [215] ; SLEEP [1585],,,,,s’être couché; dormir
SN000553,five,LX000540,FIVE [493],493,,,,cinq
SN000554,memory,LX000541,MEMORY [1018],1018,,,,memoire
SN000555,crush; grind corn to get corn flour,LX000542,CRUSH [1520],1520,,,,moudre; ecraser le mil pour obtenir la farine du mil
SN000556,crush,LX000543,CRUSH [1520],1520,,,,ecraser
SN000557,bite,LX000544,BITE [1403],1403,,,,mordre
SN000558,[first person singular subject pronoun],-i,,,,,,
SN000559,hit!,LX000545,,,,,,frappe!
SN000560,fire the gun,LX000546,,,,,,tirer le fusil
SN000561,outdoors,LX000547,,,,,,dehors; l’extérieur
SN000562,father-in-law,LX000548,FATHER-IN-LAW [1055],,,,,beau-père
SN000563,ancestors,LX000549,ANCESTORS [1669],1669,,,,ancêtres
SN000564,father in law,LX000550,FATHER-IN-LAW [1055],,,,,beau père
SN000565,vocative: father in law; form of address to one’s own or somebody else’s father-in-law,LX000551,FATHER-IN-LAW [1055],,,,,beau-père; terme d’adresse pour son propre beau-père ou pour celui de quelqu'un d’autre
SN000566,grandfather; grandmother; ancestor,LX000552,"GRANDMOTHER [1496] , GRANDFATHER [1383]",,,,,grand-père; grand-mère; ancêtre
SN000567,get sated,LX000553,,,,,,être rassasié
SN000568,last year; lately,LX000554,LAST YEAR [514],,,,,année dernière; dernièrement
SN000569,finish,LX000555,FINISH [1766],1766,,,,finir
SN000570,pubic apron for a newly married girl made from plant tissues,LX000556,,,cc66aa96a9bf747b9ab3681d8cb2807c,,,cache-sexe en tissus de fibres végétales pour la nouvelle mariée
SN000571,end prematurely,LX000557,,,,,,finir trop tôt
SN000572,be finished,LX000558,,,,,,être fini
SN000573,end,LX000559,END (OF SPACE) [742],,,,,fin
SN000574,eternity; forever,LX000560,,,,,,éternité; pour toujours
SN000575,finish something,LX000561,FINISH [1766],1766,,,,finir quelque chose
SN000576,spy; be on the look-out for,LX000562,,,,,,guetter
SN000577,finish,LX000563,FINISH [1766],1766,,,,achever
SN000578,donkey,LX000564,DONKEY [1862],1862,,,,âne
SN000579,zebra,LX000565,,,,,,zebre
SN000580,please,LX000566,,,,,,pardon; s’il vous plaît
SN000581,that,LX000567,THAT [78],78,,,,que
SN000582,iron,LX000568,IRON [621],621,,,,fer
SN000583,tear,LX000569,TEAR (SHRED) [1735],,,,,dechirer
SN000584,tear; vaccinate,LX000570,,,,,,déchirer; vacciner
SN000585,vaccination,LX000571,,,,,,vaccination
SN000586,big frog,LX000572,FROG [503],503,,,,gros crapaud
SN000587,indistinct,LX000573,,,,,,flou
SN000588,bring; take,LX000574,BRING [692] ; TAKE [1749],,,,,apporter; prendre
SN000589,grave,LX000575,GRAVE [1773],1773,,,,tombe
SN000590,marry; to take her hand in marriage,LX000576,MARRY (AS MAN) [2164],,,,,se marier; prendre une fille en mariage
SN000591,deep plate,LX000577,,,,,,grande écuelle en bois
SN000592,take all,LX000578,,,,,,prendre tous
SN000593,tortoise,LX000579,TORTOISE [895],895,,,,tortue
SN000594,rock composed of stones and and other matters,LX000580,,,,,,poudingue; roche composée de galets et d’un conglomérat
SN000595,put inside,LX000581,,,,,,mettre dedans; verser; poser dedans
SN000596,decrease,LX000582,,,,,,diminuer; decroitre
SN000597,diminish,LX000583,DIMINISH [1184],1184,,,,décroître; diminuer
SN000598,add,LX000584,,,,,,ajouter
SN000599,carry for him!,LX000585,,,,,,accompagne-le!; porte-le-lui!
SN000600,take out; take from,LX000586,,,,,,enlever
SN000601,fish,LX000587,FISH [227],227,,,,poisson
SN000602,clay lid; plate,LX000588,PLATE [480],480,,,,couvercle en argile; plat; assiette
SN000603,smooth,LX000589,SMOOTH [1234],1234,,,,lisse
SN000604,desert date,LX000590,,,,Balanites aegyptiaca,botanical,dattier du désert
SN000605,name of a town,koza,,,,,,nom d'une ville
SN000606,dog,LX000591,DOG [2009],2009,,,,chien
SN000607,jackal,LX000592,,,,,zoological,chacal; voir 'krì dog'
SN000608,crocodile,LX000593,CROCODILE [1857],1857,,,zoological,crocodile
SN000609,pepper,LX000594,PEPPER [1385],1385,,,,piment
SN000610,a Christian,LX000595,,,,,,un chrétien
SN000611,catch,LX000596,CATCH [702],702,,,,attraper
SN000612,devour,LX000597,,,,,,dévorer
SN000613,a V shaped branch of a tree; serves as tool in cutting thorny plants,LX000598,,,0cc2815b83e83d7a4801367f88159316,,,branche d’arbre taillée de façon à se terminer en V; fourche qui sert à ramasser les épineux
SN000614,catch and bring in,LX000599,,,,,,arrêter et faire entrer à l’intérieur
SN000615,send away,LX000600,,,,,,renvoyer; divorcer
SN000616,have returned; divorce,LX000601,,,,,,avoir renvoyé; avoir divorcé
SN000617,catch and give it to him,LX000602,,,,,,attraper quelque chose et le lui donner
SN000618,curse,LX000603,CURSE [8],8,,,,malédiction
SN000619,curse,LX000604,CURSE [8],8,,,,maudire
SN000620,shea tree,LX000605,,,,Vitellaria paradoxa,botanical,karité (noix utilisé pour faire de l’huile)
SN000621,top; highest degree,LX000606,TOP [1753],1753,,,,cime; degré ultime; point le plus eloigné
SN000622,small insects,LX000607,,,,,,petits insectes
SN000623,cross-eyed,LX000608,,,,,,louche
SN000624,a kind of snake; madagascar tree boa or puff adder,LX000609,,,,,zoological,serpent; python arboricole ou vipère heurtante
SN000625,iron,LX000610,IRON [621],621,,,,fer
SN000626,grave,LX000611,GRAVE [1773],1773,,,,tombe
SN000627,malediction,LX000612,,,,,,malédiction
SN000628,fan,LX000613,FAN (OBJECT) [1971],,8cd750b2c1117ea110168d983fb8eed2,,,éventail
SN000629,face,LX000614,FACE [1560],1560,,,,visage
SN000630,a herbacious plant,LX000615,,,,,,plante herbacée
SN000631,newborn,LX000616,,,,,,nouveau né
SN000632,rope made from straw,LX000617,,,,,,corde en paille tressée
SN000633,darken,kwz-,,,,,,s’obscurcir
SN000634,even,LX000618,,,,,,même
SN000635,quickly; rapidly,LX000618,FAST [1631],1631,,,,vite; rapidement
SN000636,or; no matter,LX000619,OR [1014],1014,,,,ou; n'importe
SN000637,even if; despite,LX000620,,,,,,malgré
SN000638,any,LX000621,,,,,,quelconque
SN000639,anything; anywhere,LX000622,,,,,,n'importe où
SN000640,anybody,LX000623,,,,,,n'importe qui
SN000641,walking in wasteland; bush,LX000624,,,,,,fait d’errer dans un lieu inhabité; en brousse
SN000642,small animal,LX000625,,,,,,petit animal
SN000643,small calabash for drinking,LX000626,,,b202224b574f2fcfcc13eaaa56c28b0c,,,petite calebasse pour boire
SN000644,money,LX000627,MONEY [1559],1559,,,,argent
SN000645,"scatter/chase away (people or animals, not inanimate objects)",LX000628,,,,,,"disperser/chasser (des personnes ou des animaux, mais pas des objets)"
SN000646,walking in wasteland,LX000629,,,,,,macher; errer; passer par un lieu inhabité/désert
SN000647,a hill composed of large boulders,LX000630,,,97f6f5ed4c816968ce8ac9a1dc9c6e29,,,colline formée de gros blocs de pierre arrondis
SN000648,fail; refuse,LX000631,REFUSE [49],49,,,,rater; échouer; refuser
SN000649,black kite,LX000632,,,,,ornithological,milan noir
SN000650,bottle,LX000633,BOTTLE [1321],1321,,,,bouteille
SN000651,absence,LX000634,,,,,,refus; absence
SN000652,snail shell,LX000635,SHELL [598],598,,,,coquil d’escargot
SN000653,gather,LX000636,GATHER [7],7,,,,ramasser
SN000654,dead leaves; small dry remnants of plants,LX000637,,,,,,feuilles mortes; débris végétaux secs
SN000655,"gather dead leaves, trash",LX000638,,,,,,"ramasser les feuilles mortes, les détritus"
SN000656,small unidentified mammal that lives in the mountains,LX000639,,,,,zoological,petit animal des montagnes
SN000657,quickness,LX000640,,,,,,rapidité
SN000658,water bug,LX000641,,,,Belostoma Belostomatidae,entomological,punaise d’eau
SN000659,head calabash,LX000642,,,,,,calebasse qu’on porte sur la tête
SN000660,small,LX000643,SMALL [1246],1246,,,,petit
SN000661,a kind of bug,LX000644,,,,riptortus dentipes,entomological,insecte
SN000662,dump; trashcan,LX000645,,,,,,dépotoir; poubelle; récipient à ordures
SN000663,money,LX000646,MONEY [1559],1559,,,,argent
SN000664,wait,kzl-,WAIT (FOR) [1590],,,,,attendre
SN000665,wait; waiting,LX000647,,,,,,attente
SN000666,wait; wait!; wait a minute!,LX000648,WAIT (FOR) [1590],,,,,attendre; attends!
SN000667,attente,LX000649,,,,,,attente
SN000668,as; like; into; out of; for,LX000650,,,,,,comme; en; de; pour
SN000669,how,LX000651,HOW [1239],1239,,,,comment
SN000670,or,LX000652,OR [1014],1014,,,,ou; ou bien
SN000671,[complementizer],LX000653,,,,,,
SN000672,[sequential marker],LX000654,,,,,,
SN000673,[complementizer],LX000655,,,,,,
SN000674,[absolutive marker],LX000656,,,,,,
SN000675,how many,LX000657,HOW MANY [822],,,,,combien
SN000676,how,LX000658,HOW [1239],1239,,,,comment
SN000677,true,LX000659,TRUE [1657],1657,,,,vrai
SN000678,baobab,LX000660,,,,adansonia digitata,,arbre baobab
SN000679,because,LX000661,BECAUSE [1157],1157,,,,par ce que
SN000680,money,LX000662,MONEY [1559],1559,,,,argent
SN000681,news,LX000663,,,,,,nouvelles
SN000682,small mosquito; anophel,LX000664,,,,,,petit moustique
SN000683,cross-eyed,LX000665,,,,,,personne atteinte de strabisme
SN000684,sword,LX000666,SWORD [1535],1535,,,,epée
SN000685,[second person singular independant pronoun],LX000667,,,,,,[pronom indépendant de 2e personne du singulier]
SN000686,crab,LX000668,CRAB [2348],2348,,,zoological,crabe
SN000687,how,LX000669,HOW [1239],1239,,,,comment
SN000688,pigeon,LX000670,DOVE [1853],1853,,,ornithological,pigeon
SN000689,without,LX000671,WITHOUT [1478],1478,,,,sans
SN000690,torment; trouble,LX000672,,,,,,tormenter; troubler
SN000691,torment; trouble,LX000673,,,,,,tourmenter; gêner; déranger
SN000692,a variety of large kingfisher with bright blue feathers,LX000674,,,,,ornithological,grand martin-pêcheur à plume bleues brillantes
SN000693,large calabash for rising chickens or storing grains,LX000675,,,,,,"grande calebasse dans laquelle on élève les poussins et où l’on conserve toutes sortes de choses (semences, petits objets, huile de caïlcédrat, etc.)"
SN000694,monitor lizard,LX000676,,,,,,varan (blanc)
SN000695,"wild local tomato, smaller than the European import",LX000677,,,,,botanical,petite tomate sauvage
SN000696,like; want,LX000678,LIKE [1117] ; WANT [1784],,,,,vouloir
SN000697,face; future,LX000679,FACE [1560] ; FUTURE [2427],,,,,futur; avenir
SN000698,wishes,LX000680,,,,,,voeux
SN000699,[name for males],LX000680,,,,,,[nom pour personnes males]
SN000700,[second person plural subject suffix],LX000681,,,,,,
SN000701,lift,LX000682,LIFT [501],501,,,,soulever
SN000702,uprising,LX000683,,,,,,soulèvement
SN000703,take the meat of a bone (done after the bone is cooked),LX000684,,,,,,détacher la viande d’un os (on le fait une fois que l’os est cuit)
SN000704,taking the meat off the bone,LX000685,,,,,,opération qui consiste à enlever la viande d’un os
SN000705,reed,LX000686,,,,,botanical,roseau
SN000706,first of all,LX000687,,,,,,d'abord; en premier lieu
SN000707,knee,LX000688,KNEE [1371],1371,,,,genou
SN000708,catch; kill,LX000689,CATCH [702] ; KILL [1417],,,,,attraper; tuer
SN000709,help,LX000690,HELP [1897],1897,,,,aider
SN000710,unidentified grass,LX000691,,,,,botanical,plante herbacée non identifiée
SN000711,help,LX000692,HELP [1897],1897,,,,aide
SN000712,help,LX000693,HELP [1897],1897,,,,aider
SN000713,help; help!,LX000694,HELP [1897],1897,,,,aide!; aider
SN000714,little,LX000695,,,,,,un peu
SN000715,a big flat stone which can serve as a table or a place of rest for people,LX000696,,,db4641dc0bada5773aa539f111c88bc0,,,grande dalle en pierre qui peut servir de table ou de lieu de repos
SN000716,different,LX000697,DIFFERENT [2504],2504,,,,différent
SN000717,variant of 'kwá' calabash; dish,LX000698,DISH [481],481,,,,calebasse; plat
SN000718,only,LX000699,ONLY [1580],1580,,,,seulement
SN000719,thus [reference marker],LX000700,,,,,,donc [marque de reference]
SN000720,[interjection],LX000701,,,,,,
SN000721,[negation],LX000702,,,,,,
SN000722,therefore,LX000703,,,,,,donc; par conséquent
SN000723,still,LX000704,,,,,,encore
SN000724,ache,LX000705,ACHE [1815],1815,,,,faire mal
SN000725,ache,LX000706,ACHE [1815],1815,,,,faire mal
